CME,t0,dt0,pa,da,v,dv,minv,maxv,halo?,datetime
"<a href=""CME0116/CME.html"" target=""_blank"" >0116</a>",2025/03/24 15:45,00,114,018,0744,0066,0662,0892,,2025-03-24 15:45:00
"<a href=""CME0115/CME.html"" target=""_blank"" >0115</a>",2025/03/23 19:48,00,252,010,0271,0027,0240,0325,,2025-03-23 19:48:00
"<a href=""CME0114/CME.html"" target=""_blank"" >0114</a>",2025/03/23 17:00,02,100,006,0494,0034,0452,0548,,2025-03-23 17:00:00
"<a href=""CME0113/CME.html"" target=""_blank"" >0113</a>",2025/03/23 13:25,00,093,008,0409,0022,0390,0446,,2025-03-23 13:25:00
"<a href=""CME0112/CME.html"" target=""_blank"" >0112</a>",2025/03/23 12:48,01,108,014,0637,0041,0578,0679,,2025-03-23 12:48:00
"<a href=""CME0111/CME.html"" target=""_blank"" >0111</a>",2025/03/23 11:12,01,301,008,0391,0084,0322,0534,,2025-03-23 11:12:00
"<a href=""CME0110/CME.html"" target=""_blank"" >0110</a>",2025/03/23 09:12,01,168,006,0735,0038,0679,0771,,2025-03-23 09:12:00
"<a href=""CME0109/CME.html"" target=""_blank"" >0109</a>",2025/03/23 08:24,00,256,010,0278,0042,0216,0347,,2025-03-23 08:24:00
"<a href=""CME0108/CME.html"" target=""_blank"" >0108</a>",2025/03/23 08:00,03,063,040,0456,0103,0256,0694,,2025-03-23 08:00:00
"<a href=""CME0107/CME.html"" target=""_blank"" >0107</a>",2025/03/23 07:24,01,260,010,0681,0346,0434,1358,,2025-03-23 07:24:00
"<a href=""CME0106/CME.html"" target=""_blank"" >0106</a>",2025/03/23 06:24,01,047,020,0405,0095,0301,0625,,2025-03-23 06:24:00
"<a href=""CME0105/CME.html"" target=""_blank"" >0105</a>",2025/03/23 03:12,02,304,014,0473,0172,0213,0600,,2025-03-23 03:12:00
"<a href=""CME0104/CME.html"" target=""_blank"" >0104</a>",2025/03/22 22:24,02,301,008,0243,0019,0212,0262,,2025-03-22 22:24:00
"<a href=""CME0103/CME.html"" target=""_blank"" >0103</a>",2025/03/22 16:36,01,347,016,0553,0058,0496,0694,,2025-03-22 16:36:00
"<a href=""CME0102/CME.html"" target=""_blank"" >0102</a>",2025/03/22 16:36,01,170,046,1690,0289,0919,1953,,2025-03-22 16:36:00
"<a href=""CME0101/CME.html"" target=""_blank"" >0101</a>",2025/03/22 16:24,01,073,028,0976,0569,0529,1953,,2025-03-22 16:24:00
"<a href=""CME0100/CME.html"" target=""_blank"" >0100</a>",2025/03/22 16:24,04,271,128,0868,0696,0183,1953,II,2025-03-22 16:24:00
"<a href=""CME0099/CME.html"" target=""_blank"" >0099</a>",2025/03/22 16:00,00,122,038,1116,0198,0892,1736,,2025-03-22 16:00:00
"<a href=""CME0098/CME.html"" target=""_blank"" >0098</a>",2025/03/22 13:48,02,027,056,0408,0101,0217,0651,,2025-03-22 13:48:00
"<a href=""CME0097/CME.html"" target=""_blank"" >0097</a>",2025/03/22 12:48,03,312,030,0249,0165,0147,0664,,2025-03-22 12:48:00
"<a href=""CME0096/CME.html"" target=""_blank"" >0096</a>",2025/03/22 12:00,01,117,012,0744,0203,0589,1116,,2025-03-22 12:00:00
"<a href=""CME0095/CME.html"" target=""_blank"" >0095</a>",2025/03/22 07:48,01,045,052,0405,0153,0202,0694,,2025-03-22 07:48:00
"<a href=""CME0094/CME.html"" target=""_blank"" >0094</a>",2025/03/22 07:36,01,050,010,0480,0064,0376,0568,,2025-03-22 07:36:00
"<a href=""CME0093/CME.html"" target=""_blank"" >0093</a>",2025/03/21 16:24,02,247,012,0163,0044,0100,0229,,2025-03-21 16:24:00
"<a href=""CME0092/CME.html"" target=""_blank"" >0092</a>",2025/03/21 16:24,01,244,058,0258,0058,0165,0395,,2025-03-21 16:24:00
"<a href=""CME0091/CME.html"" target=""_blank"" >0091</a>",2025/03/21 15:48,01,126,030,1077,0319,0892,1644,,2025-03-21 15:48:00
"<a href=""CME0090/CME.html"" target=""_blank"" >0090</a>",2025/03/21 08:36,02,023,044,0317,0079,0173,0428,,2025-03-21 08:36:00
"<a href=""CME0089/CME.html"" target=""_blank"" >0089</a>",2025/03/20 17:12,01,259,048,0844,0116,0710,1116,,2025-03-20 17:12:00
"<a href=""CME0088/CME.html"" target=""_blank"" >0088</a>",2025/03/20 02:12,02,242,010,0283,0013,0279,0310,,2025-03-20 02:12:00
"<a href=""CME0087/CME.html"" target=""_blank"" >0087</a>",2025/03/20 00:12,02,251,024,0312,0056,0196,0378,,2025-03-20 00:12:00
"<a href=""CME0086/CME.html"" target=""_blank"" >0086</a>",2025/03/19 23:36,02,275,072,0892,0561,0367,1953,,2025-03-19 23:36:00
"<a href=""CME0085/CME.html"" target=""_blank"" >0085</a>",2025/03/19 23:24,00,191,008,0728,0062,0625,0781,,2025-03-19 23:24:00
"<a href=""CME0084/CME.html"" target=""_blank"" >0084</a>",2025/03/19 17:12,01,278,006,0415,0109,0332,0612,,2025-03-19 17:12:00
"<a href=""CME0083/CME.html"" target=""_blank"" >0083</a>",2025/03/19 16:00,01,163,008,1562,0263,1358,1953,,2025-03-19 16:00:00
"<a href=""CME0082/CME.html"" target=""_blank"" >0082</a>",2025/03/19 11:00,00,129,008,0216,0019,0189,0244,,2025-03-19 11:00:00
"<a href=""CME0081/CME.html"" target=""_blank"" >0081</a>",2025/03/19 08:12,03,079,032,0264,0115,0150,0466,,2025-03-19 08:12:00
"<a href=""CME0080/CME.html"" target=""_blank"" >0080</a>",2025/03/19 08:12,05,183,152,1349,0607,0351,2016,II,2025-03-19 08:12:00
"<a href=""CME0079/CME.html"" target=""_blank"" >0079</a>",2025/03/19 07:24,03,284,038,0452,0087,0284,0651,,2025-03-19 07:24:00
"<a href=""CME0078/CME.html"" target=""_blank"" >0078</a>",2025/03/19 05:24,01,305,008,0390,0133,0195,0480,,2025-03-19 05:24:00
"<a href=""CME0077/CME.html"" target=""_blank"" >0077</a>",2025/03/19 05:12,13,014,126,0264,0141,0114,0702,II,2025-03-19 05:12:00
"<a href=""CME0076/CME.html"" target=""_blank"" >0076</a>",2025/03/18 16:09,02,066,018,0344,0126,0119,0518,,2025-03-18 16:09:00
"<a href=""CME0075/CME.html"" target=""_blank"" >0075</a>",2025/03/18 08:48,01,098,006,0356,0436,0274,1225,,2025-03-18 08:48:00
"<a href=""CME0074/CME.html"" target=""_blank"" >0074</a>",2025/03/18 07:48,02,110,038,0781,0324,0243,1327,,2025-03-18 07:48:00
"<a href=""CME0073/CME.html"" target=""_blank"" >0073</a>",2025/03/17 20:00,02,010,034,0155,0011,0132,0174,,2025-03-17 20:00:00
"<a href=""CME0072/CME.html"" target=""_blank"" >0072</a>",2025/03/17 20:00,02,018,058,0318,0125,0146,0694,,2025-03-17 20:00:00
"<a href=""CME0071/CME.html"" target=""_blank"" >0071</a>",2025/03/17 12:00,03,103,016,0437,0397,0137,1201,,2025-03-17 12:00:00
"<a href=""CME0070/CME.html"" target=""_blank"" >0070</a>",2025/03/17 11:12,01,279,060,0234,0019,0205,0292,,2025-03-17 11:12:00
"<a href=""CME0069/CME.html"" target=""_blank"" >0069</a>",2025/03/16 21:24,01,108,010,0293,0051,0240,0372,,2025-03-16 21:24:00
"<a href=""CME0068/CME.html"" target=""_blank"" >0068</a>",2025/03/16 21:12,02,300,050,0258,0042,0178,0315,,2025-03-16 21:12:00
"<a href=""CME0067/CME.html"" target=""_blank"" >0067</a>",2025/03/16 21:00,02,013,052,0326,0014,0292,0355,,2025-03-16 21:00:00
"<a href=""CME0066/CME.html"" target=""_blank"" >0066</a>",2025/03/16 10:48,01,323,016,0234,0019,0205,0258,,2025-03-16 10:48:00
"<a href=""CME0065/CME.html"" target=""_blank"" >0065</a>",2025/03/16 04:12,01,109,028,0209,0074,0159,0372,,2025-03-16 04:12:00
"<a href=""CME0064/CME.html"" target=""_blank"" >0064</a>",2025/03/16 02:24,01,050,006,1080,0368,0610,1488,,2025-03-16 02:24:00
"<a href=""CME0063/CME.html"" target=""_blank"" >0063</a>",2025/03/16 01:36,00,053,012,0320,0095,0172,0488,,2025-03-16 01:36:00
"<a href=""CME0062/CME.html"" target=""_blank"" >0062</a>",2025/03/16 01:25,01,192,006,1183,0560,0590,1957,,2025-03-16 01:25:00
"<a href=""CME0061/CME.html"" target=""_blank"" >0061</a>",2025/03/15 23:36,03,244,042,0812,0524,0452,1893,,2025-03-15 23:36:00
"<a href=""CME0060/CME.html"" target=""_blank"" >0060</a>",2025/03/15 19:12,01,051,008,1200,0409,0612,1736,,2025-03-15 19:12:00
"<a href=""CME0059/CME.html"" target=""_blank"" >0059</a>",2025/03/15 15:48,01,303,008,1096,0512,0946,1953,,2025-03-15 15:48:00
"<a href=""CME0058/CME.html"" target=""_blank"" >0058</a>",2025/03/15 11:00,01,258,006,0436,0175,0307,0762,,2025-03-15 11:00:00
"<a href=""CME0057/CME.html"" target=""_blank"" >0057</a>",2025/03/15 05:12,03,223,092,0905,0344,0449,1644,II,2025-03-15 05:12:00
"<a href=""CME0056/CME.html"" target=""_blank"" >0056</a>",2025/03/15 01:25,01,048,006,0367,0218,0123,0665,,2025-03-15 01:25:00
"<a href=""CME0055/CME.html"" target=""_blank"" >0055</a>",2025/03/14 12:48,01,198,006,0634,0304,0592,1238,,2025-03-14 12:48:00
